;USAF;STATION NAME;LAT;LON;ELEV(M);BEGIN;END;REGION
1865;340830;HVALYNSK;52.5;48.083;88.0;19620813;20201118;Саратовская обл.
1866;340840;VOLSK;52.067;47.35;199.9;19591101;19631218;Саратовская обл.
1867;340850;BALAKOVO;52.033;47.75;30.0;19740904;20030112;Саратовская обл.
1868;340980;PUGACEV;52.033;48.833;38.0;19480101;20201118;Саратовская обл.
1869;341090;OBOJAN';51.2;36.317;192.0;19910907;20201118;Курская обл.
1870;341100;BOGORODITSKOE-FENINO;51.167;37.35;226.0;20090128;20201118;Белгородская обл.
1871;341160;STARYJ OSKOL;51.3;37.883;218.0;19460309;20020807;Белгородская обл.
1872;341220;CHERTOVITSKOYE;51.81399999999999;39.23;156.7;19320101;20201118;Воронежская обл.
1873;341230;VORONEZ;51.7;39.217;149.0;19940802;20201118;Воронежская обл.
1874;341390;KAMENNAJA STEP';51.05;40.7;194.0;20120731;20201118;Воронежская обл.
1875;341460;BORISOGLEBSK;51.367;42.083;106.0;19600129;20201118;Воронежская обл.
1876;341520;BALASHOV;51.55;43.15;159.0;19320101;20201118;Саратовская обл.
1877;341630;OKTJABR'SKIJ GORODOK;51.633;45.45;201.0;20070226;20201118;Саратовская обл.
1878;341640;KALININSK;51.5;44.5;229.0;19740820;19800217;Саратовская обл.
1879;341710;GAGARIN;51.713;46.17100000000001;31.4;20110331;20201118;Саратовская обл.
1880;341720;TSENTRALNY;51.565;46.047;152.1;19320101;20181231;Саратовская обл.
1881;341860;ERSHOV;51.367;48.3;111.0;19570701;20201118;Саратовская обл.
1882;341990;OZINKI;51.2;49.733000000000004;104.0;19591006;20201118;Саратовская обл.
1883;342020;GOTNJA;50.8;35.766999999999996;226.0;19590101;20201118;Белгородская обл.
1884;342130;NOVYJ OSKOL;50.75;37.867;140.0;19590101;20030709;Белгородская обл.
1885;342140;BELGOROD;50.633;36.583;224.0;19590103;20130430;Белгородская обл.
1886;342310;LISKI;51.0;39.5;115.0;19590103;20201118;Воронежская обл.
1887;342330;BUTURL INOVKA;50.817;40.633;132.0;19590101;19631211;Воронежская обл.
1888;342380;ANNA;51.483000000000004;40.417;154.0;19590101;20201118;Воронежская обл.
1889;342400;URJUPINSK;50.8;42.0;110.0;19530216;20201118;Волгоградская обл.
1890;342470;KALAC;50.417;41.05;92.0;19600101;20201118;Воронежская обл.
1891;342530;ELAN';50.95;43.733000000000004;132.0;20120731;20201118;Волгоградская обл.
1892;342540;NOVOANNENSKIJ;50.533;42.683;98.0;19610805;20201118;Волгоградская обл.
1893;342620;RUDNYA;50.833;44.567;114.0;19590103;20201118;Волгоградская обл.
1894;342670;DANILOVKA;50.367;44.117;102.0;19600401;20201118;Волгоградская обл.
1895;342710;ZOLOTOE;50.817;45.883;43.0;19611206;19800117;Саратовская обл.
1896;342730;KRASNYJ KUT;50.95;46.967;50.0;19620803;20201118;Саратовская обл.
1897;342890;NOVOUZENSK;50.483000000000004;48.133;32.0;19740821;19800113;Саратовская обл.
1898;343210;VALUJKI;50.217;38.1;112.0;19480501;20201118;Белгородская обл.
